Run;Date;Time;#Files;Events;Target;LiveC;Beam;I;Torus;Mini;ec_hi;FcupA;Time;Comments
17864;99-04-15;17:09;2;1126981;other;0.96;4461;3;2251;5996;400;162716;35;Test run back to 32bit DAQ
17865;99-04-15;17:46;2;881850;other;0.94;4461;15;2251;5995;400;141464;16;Test run back to 32bit DAQ
17866;99-04-15;18:11;2;532425;other;0.91;4461;20;2251;5996;400;96436;8;Test run back to 32bit DAQ
17867;99-04-15;18:21;4;2006773;other;0.89;4461;20;2249;5996;348;236789;20;Test run back to 32bit DAQ
17868;99-04-15;19:45;3;2318983;empty;0.95;4461;20;2249;5996;348;853455;52;Empty target run.  20 nA requested.
17869;99-04-15;20:53;8;4649287;wheel_1;0.9;4461;18;2249;5996;348;529106;51;Start Run with Iron target
17870;99-04-15;22:49;3;1945960;4He_full;0.89;4461;5;2249;5996;348;33963;18;The first  CLAS run on 4He.
17871;99-04-15;23:10;5;2780210;4He_full;0.91;4461;5;2249;5995;400;69097;31;Run on 4He with ECtot=400mV.
17872;99-04-16;00:04;4;2111207;C12;0.93;4461;9;2249;5996;400;147581;28;Run on 12C with ECtot=350mV.
17873;99-04-16;00:41;4;2106533;other;0.93;4461;15;2251;5996;348;245819;30;Run on CH with ECtot=350mV.
17874;99-04-16;01:15;17;10135007;other;0.92;4461;15;2249;5996;348;1102706;129;Run on FE56 with ECtot=350mV.
17875;99-04-16;03:26;5;3001632;other;0.92;4461;15;2251;5996;348;1104268;129;Run on FE56 with ECtot=350mV.
17876;99-04-16;04:08;12;7334260;other;0.92;4461;15;2249;5996;348;793478;107;Run on FE56 with ECtot=350mV.
17877;99-04-16;06:31;8;4362525;other;0.92;4461;15;2251;5996;348;474246;58;Run on FE56 with ECtot=350mV.
17881;99-04-16;11:39;9;5738192;4He_full;0.91;4461;3;2249;5996;348;92336;61;Production run with 4He target.
17883;99-04-16;12:58;1;303016;4He_full;0.6;4461;3;2251;5996;348;6483;3;Production run with 4He target.
17884;99-04-16;13:04;1;530101;4He_full;0.16;4461;3;2249;5996;348;6270;3;Production run with 4He target.
17885;99-04-16;13:09;13;8136963;4He_full;0.9;4461;3;2249;5996;348;133976;75;Production run with 4He target.
17886;99-04-16;15:38;8;4692237;4He_full;0.9;4461;3;2249;5996;348;75557;43;Production run with 4He target.
17899;99-04-16;23:42;3;2007131;empty;0.95;4461;20;2251;5996;348;764391;47;Empty Target run
17900;99-04-17;00:35;2;1540974;wheel_2;0.96;4461;5;2249;5996;348;139561;49;CH target
17901;99-04-17;01:26;14;8201774;C12;0.92;4461;5;2249;5996;348;586163;104;C12 target
17902;99-04-17;03:15;17;10093084;C12;0.92;4461;5;-9999;5996;348;734250;134;C12 target
17903;99-04-17;05:32;4;2091488;C12;0.92;4461;5;2249;5996;348;149123;27;C12 target
17905;99-04-17;06:14;12;7017319;C12;0.92;4461;10;2249;5996;348;492132;89;C12 target
17907;99-04-17;09:24;2;1063416;4He_full;0.9;4461;3;2251;5996;348;18498;9;Production run with 4He (~90% full)
Temp. of;the targe;t 4K;;;;;;;;;;;;
Presure:;690 mbar;;;;;;;;;;;;;
TT-EBP:;112 K;;;;;;;;;;;;;
17908;99-04-17;09:36;29;18323847;4He_full;0.9;4461;3.5;2249;5996;348;309139;165;Production run with 4He target
17909;99-04-17;12:24;14;8706315;4He_full;0.91;4461;3;2251;5996;348;144705;88;Production run with 4He target
17910;99-04-17;13:56;7;4297245;4He_full;0.9;4461;3;2249;5996;348;71589;41;Production run with 4He target
17912;99-04-17;14:57;27;16362786;4He_full;0.89;4461;3.5;2251;5996;348;277838;144;Production run with 4He target
17913;99-04-17;18:56;8;4793941;4He_full;0.9;4461;3.5;2249;5996;348;80762;44;Production run with 4He target
17914;99-04-17;19:55;15;9162077;4He_full;0.89;4461;3.5;2249;5996;348;155855;84;Production run with 4He target
17915;99-04-17;21:28;24;14739911;4He_full;0.89;4461;3.5;2249;5996;348;253161;127;Production run with 4He target
17916;99-04-17;23:52;19;11668812;4He_full;0.89;4461;3.5;2251;5996;348;199354;102;Production run with 4He target
17917;99-04-18;01:54;5;2686037;4He_full;0.92;4461;3.5;2249;5996;348;61604;35;E2 production
17918;99-04-18;02:41;33;20537072;4He_full;0.89;4461;3.5;2249;5996;348;336935;174;E2 production
17919;99-04-18;05:45;33;19919915;4He_full;0.88;4461;3.5;2251;5996;348;326876;164;
17920;99-04-18;08:51;18;11282870;4He_full;0.89;4461;3.5;2249;5996;348;183817;109;Production run
17921;99-04-18;11:04;26;16454322;4He_full;0.9;4461;3.5;2249;5996;348;270362;158;Production Run
17922;99-04-18;13:49;3;1387768;4He_full;0.92;4461;3.5;2251;5996;348;22083;17;
17924;99-04-18;16:33;2;1127835;empty;0.95;4461;30;2249;5996;348;446857;29;do an empty target run
17925;99-04-18;19:03;3;1391955;wheel_1;0.94;4461;3;2249;5996;348;149293;24;
Producti;on run wit;h Fe t;arge;t. no Mb s;hield;;;;;;;;;
17928;99-04-18;20:15;30;16299322;4He_full;0.9;4461;4.5;2249;5996;400;430800;172;First Production run with new settings. ec tot=400mV
17929;99-04-19;00:25;36;20223625;4He_full;0.89;4461;4.5;2249;5996;0;511607;193;E2 production
17930;99-04-19;03:50;5;2284034;4He_full;0.89;4461;4.5;2251;5996;0;57445;21;E2 production
17937;99-04-19;06:12;31;16834968;4He_full;0.9;4461;4.5;2249;5995;0;414770;178;E2 production
17939;99-04-19;12:40;17;9345883;4He_full;0.9;4461;4.5;2251;5996;0;234634;93;E2 Production Run
17940;99-04-19;14:21;3;1346519;4He_full;0.9;4461;4.5;2249;5996;400;33236;13;E2 4He Production Run
17941;99-04-19;14:44;7;3361885;4He_full;0.9;4461;4.5;2251;5996;400;81626;33;
E2 4He P;roduction;Run;;;;;;;;;;;;
17942;99-04-19;15:51;2;1245084;empty;0.96;4461;4.5;2251;5996;400;711676;35;Empty target run until system checks start
17947;99-04-19;21:25;3;1442195;wheel_1;0.94;4461;10;2251;5996;400;145061;28;Fe target production run
17948;99-04-19;22:23;10;5036818;4He_full;0.91;4461;4.5;2249;5996;400;131374;57;Target full. p=598mBar. t=3.85K
17949;99-04-19;23:29;17;9327648;4He_full;0.91;4461;4.5;2251;5996;400;239766;104;Minor problems with cryo target
17950;99-04-20;01:54;52;29255529;4He_full;0.9;4461;4;2249;5996;400;700189;308;Minor problems with cryo target
17951;99-04-20;07:32;8;4383718;4He_full;0.9;4461;4;2251;5996;400;104642;46;
17952;99-04-20;09:01;1;417314;4He_full;0.85;4461;4;2249;5996;400;10657;5;had terminated previous run for mcc to do a beam lock study.
mcc has;completed;study;and;will begin;new run;;;;;;;;;
17953;99-04-20;09:10;30;16386088;4He_full;0.9;4461;4;2251;5996;400;393790;166;previous run. running for about 10 min. had garbage. starting new run
17954;99-04-20;12:02;26;14031547;4He_full;0.9;4461;4.5;2251;5996;400;337437;143;did a cross talk before beg of this run. measurement resulted in 0 faraday current.
17955;99-04-20;18:56;5;3602704;4He_full;0.94;4461;2.2;2249;5996;400;76255;67;"low current run; full 4-He target"
17956;99-04-21;10:11;1;693862;4He_full;0.95;4461;2.2;2249;5996;400;14288;15;
